PLZ;ORT;Bezirk;
3001;Mauerbach;Bezirk Sankt Pölten (Land);
3001;Tulbing;Bezirk Tulln;
3002;Purkersdorf;Bezirk Sankt Pölten (Land);
3003;Gablitz;Bezirk Sankt Pölten (Land);
3004;Gablitz;Bezirk Sankt Pölten (Land);
3004;Sieghartskirchen;Bezirk Tulln;
3004;Tullnerbach;Bezirk Sankt Pölten (Land);
3011;Purkersdorf;Bezirk Sankt Pölten (Land);
3011;Tullnerbach;Bezirk Sankt Pölten (Land);
3012;Pressbaum;Bezirk Sankt Pölten (Land);
3012;Purkersdorf;Bezirk Sankt Pölten (Land);
3012;Wolfsgraben;Bezirk Sankt Pölten (Land);
3013;Pressbaum;Bezirk Sankt Pölten (Land);
3013;Tullnerbach;Bezirk Sankt Pölten (Land);
3021;Pressbaum;Bezirk Sankt Pölten (Land);
3021;Tullnerbach;Bezirk Sankt Pölten (Land);
3021;Wolfsgraben;Bezirk Sankt Pölten (Land);
3031;Pressbaum;Bezirk Sankt Pölten (Land);
3032;Eichgraben;Bezirk Sankt Pölten (Land);
3032;Maria Anzbach;Bezirk Sankt Pölten (Land);
3032;Pressbaum;Bezirk Sankt Pölten (Land);
3033;Altlengbach;Bezirk Sankt Pölten (Land);
3033;Klausen-Leopoldsdorf;Bezirk Baden;
3033;Pressbaum;Bezirk Sankt Pölten (Land);
3034;Asperhofen;Bezirk Sankt Pölten (Land);
3034;Maria Anzbach;Bezirk Sankt Pölten (Land);
3034;Neulengbach;Bezirk Sankt Pölten (Land);
3040;Neulengbach;Bezirk Sankt Pölten (Land);
3041;Asperhofen;Bezirk Sankt Pölten (Land);
3041;Sieghartskirchen;Bezirk Tulln;
3042;Würmla;Bezirk Tulln;
3051;Neulengbach;Bezirk Sankt Pölten (Land);
3052;Brand-Laaben;Bezirk Sankt Pölten (Land);
3052;Neustift-Innermanzing;Bezirk Sankt Pölten (Land);
3053;Brand-Laaben;Bezirk Sankt Pölten (Land);
3053;Klausen-Leopoldsdorf;Bezirk Baden;
3053;Stössing;Bezirk Sankt Pölten (Land);
3061;Kirchstetten;Bezirk Sankt Pölten (Land);
3061;Neulengbach;Bezirk Sankt Pölten (Land);
3062;Kirchstetten;Bezirk Sankt Pölten (Land);
3071;Böheimkirchen;Bezirk Sankt Pölten (Land);
3071;Kasten bei Böheimkirchen;Bezirk Sankt Pölten (Land);
3071;Pyhra;Bezirk Sankt Pölten (Land);
3072;Böheimkirchen;Bezirk Sankt Pölten (Land);
3072;Kasten bei Böheimkirchen;Bezirk Sankt Pölten (Land);
3072;Neulengbach;Bezirk Sankt Pölten (Land);
3072;Stössing;Bezirk Sankt Pölten (Land);
3073;Brand-Laaben;Bezirk Sankt Pölten (Land);
3073;Michelbach;Bezirk Sankt Pölten (Land);
